"Response ID","Date Submitted","First Name:Principal Author","Last Name:Principal Author","Institution of Principal Author:Principal Author","White Paper Title","White Paper Description (350 character limit)","1:Upload File  "
"17","18 February 2019 4:05:47 pm","George","Rieke","University of Arizona","JWST/MIRI Surveys in GOODS-S","JWST/MIRI GTO programs in GOODS-S will (1) measure obscured star formation rates down to 10 Mʘ/yr; (2) measure aromatic band strengths to constrain processes in galaxy ISMs; (3)  complete our inventory of AGN types;  (4)  improve mass estimates for galaxies at z > 4; and (5)  help determine masses and ages of young stellar populations at z > 8.  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-491e2e58e3d6bb2f81c77d1db5f6890b_RiekeGeorgeH.pdf"
"18","19 February 2019 4:13:14 pm","Mikako","Matsuura","Cardiff University","Dust in supernovae: --- Do supernovae produce the first dust in the Universe? Are supernovae the key dust producers of galaxies?","This contribution is to describe why studies of dust in supernova can be important, and how this research field can develop in the next decade.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-39ccbfb67271364caf41ee339f17b090_SNdust_ver4.pdf"
"19","21 February 2019 4:59:29 pm","Ravi kumar","Kopparapu","NASA Goddard Space Flight Center","Exoplanet Diversity in the Era of Space-based Direct Imaging Missions","This whitepaper discusses the diversity of exoplanets that could be detected by future observations  in the upcoming era of large space-based flagship missions. The primary focus will be on characterizing Earth-like worlds around Sun-like stars. However, we will also be able to characterize companion planets in the system simultaneously. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/249-bebfe1e9266559a848628ecd924fe448_KopparapuRavikumar.pdf"
"20","21 February 2019 10:29:43 pm","Todd","Hunter","National Radio Astronomy Observatory","Understanding Accretion Outbursts in Massive Protostars through Maser Imaging","Two recent extraordinary accretion outbursts in massive protostars, both heralded by maser flares, have impacted our view of star formation. Unraveling the accretion mechanism in such deeply-embedded systems requires larger, more sensitive centimeter wavelength interferometers to image the masing molecular gas simultaneously with the ionized gas.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/198-b2d2819d64ed471c77ebd4b23f4589cd_HunterToddR.pdf"
"21","22 February 2019 10:29:11 am","Michelle","Ntampaka","Harvard Data Science Initiative; Center for Astrophysics | Harvard & Smithsonian","The Role of Machine Learning in the Next Decade of Cosmology","Machine learning (ML) methods have remarkably improved how cosmologists can interpret data. The next decade will bring new opportunities for data-driven discovery, but will also present new challenges for adopting ML methodologies. ML could transform our field, but it will require the community to promote interdisciplinary research endeavors.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/96-9d26fecaf818795b66a7fde473c05dcb_NtampakaMichelleC.pdf"
"22","23 February 2019 2:20:31 pm","Jonathan","Lunine","Cornell University","Comparing key compositional indicators in  Jupiter with those in extra-solar giant planets.","James Webb Space Telescope will enable detailed analysis of molecular abundances, including but  not limited to all the major carbon- and oxygen-bearing species in hot  Jupiter atmospheres. This will allow determination of the carbon-to-oxygen ratio, an essential number for planet formation models and allowing comparison with Juno’s value for Jupiter.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-4bc8f3fe7e54542a9ff69c8e666fb3c4_luninejonathani.pdf"
"23","26 February 2019 5:45:35 pm","Eric","Perlman","Florida Institute of Technology","Relativistic Jets in the Accretion & Collimation Zone :  New Challenges Enabled by New Instruments","We point out advances that can be achieved by new technology in the zone where AGN jets are accelerated to relativistic speeds and collimated.  The ngVLA, near-IR, near-IR, optical and X-ray interferometry, and other projects can produce fundamental advances in understanding jet production, acceleration, collimation and high-energy phenomena.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-04dbc331cc5cfc08c17bd6b2dc24ec0b_PerlmanEricS_1.pdf"
"25","1 March 2019 8:38:16 am","Michael","Kurtz","Center for Astrophysics | Harvard & Smithsonian","From Dark Energy to Exolife: Improving the Digital Information Infrastructure for Astrophysics","A robust information infrastructure is needed to meet future research challenges. The scientific literature can be used as the central organizing point used to navigate interdisciplinary research fields.  Connecting the literature with data products increases discoverability of both and allows for the data to be more accessible by non-experts.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-19fa6a446117854dde9a9fbe09939ee5_KurtzMichaelJ.pdf"
"26","1 March 2019 7:33:12 pm","Roser","Juanola-Parramon","NASA GSFC/UMBC","Solar System Science with Space Telescopes","Building on the legacy of HST and other space telescopes, a large multi-wavelength space observatory would enable transformative advances in planetary science. Here we highlight several representative areas of Solar System science that would greatly benefit from high resolution UV/Opt/NIR imaging (Venus, Jupiter, Neptune, dwarf planets and KBOs).","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-f72d7d34b43b19d6ef0fad6fd955169c_JuanolaParramonRoser.pdf"
"27","2 March 2019 9:11:28 pm","Imke","de Pater","UC Berkeley","Potential for Solar System Science with the ngVLA: the Giant Planets","Radio wavelength observations of solar system bodies are a powerful method of probing the deep atmospheres of the giant planets, its rings, and magnetospheres. The ngVLA will enable the highest sensitivity and resolution observations of this kind, with the potential to revolutionize our understanding of these bodies.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-539f311c296179a22c44c21beaef54e8_DePaterImke.pdf"
"29","4 March 2019 10:02:05 am","Andrew","Fox","Space Telescope Science Institute","The Magellanic Stream as a Probe of Astrophysics","The Magellanic Stream is the most spectacular example of a gaseous stream in the local Universe.  In this white paper, we emphasize the Stream’s importance for many areas of Galactic astronomy, summarize key unanswered questions, and identify future observations and simulations needed to resolve them.  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-4f5fae748e5e1dd490f0210f0f3bd0d6_mag-stream.pdf"
"30","4 March 2019 10:10:24 am","Andrew","Fox","Space Telescope Science Institute","Spectroscopic Observations of the Fermi Bubbles","The Fermi Bubbles are two giant plasma lobes extending 10 kpc above and below the Galactic Center. Here we identify the scientific themes that have emerged from spectroscopic studies of the Bubbles, determine key open questions, and describe the observations needed in the next decade to characterize the nuclear wind and its impact on the Galaxy. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-017bd9cf7bd7951eae13b6e0381e23de_fermi-bubble.pdf"
"31","4 March 2019 5:19:18 pm","Heidi","Hammel","AURA","Solar System Science with the James Webb Space Telescope","NASA’s space telescopes advance Solar System exploration in ways that complement in situ planetary spacecraft. As an example, we review some of the Solar System science planned for the James Webb Space Telescope. We envision similar robust planetary science cases for other future astrophysics flagships, particularly LUVOIR.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-2b59661ef903906f243eab03168a44a9_HammelHeidiB_Webb.pdf"
"32","4 March 2019 5:43:12 pm","Slava","Turyshev","Jet Propulsion Laboratory, Californa Institute of Technology","Direct Multi-Pixel Imaging and Spatially-Resolved Spectroscopy of a Potentially Habitable Exoplanet with the Solar Gravitational Lens","Direct high-resolution investigations of a potentially habitable exoplanet may result in finding extra-terrestrial life. This can be achieved with a telescope at the focal region of the Solar Gravitational Lens.  Resulting facility is the only practical way to achieve a multi-pixel image at a km-scale resolution on the surface of an exoplanet. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-1f6e4807ea81e194122b05872c820dbe_TuryshevSlavaG.pdf"
"33","5 March 2019 11:18:22 am","Lynne","Valencic","Johns Hopkins University","Probing the Structure of Interstellar Dust from Micron to Kpc Scales with X-ray Imaging","This White Paper explores the impact that the next generation of X-ray imagers will have on constraining interstellar dust grain models and improving our understanding of the physical processes that dictate how grains evolve over their lifetimes. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-9c0e58dfd69be80cbaaa905f03af45b9_ValencicLynne.pdf"
"34","5 March 2019 11:59:38 am","Bradford","Snios","Center for Astrophysics | Harvard & Smithsonian","X-rays Studies of the Solar System","X-ray observatories advance Solar System studies by probing  Sun-object  interactions, developing surface composition maps, probing magnetospheric dynamics, and tracking astrochemical reactions. Implementing modern X-ray optics in future instruments will foster a truly transformative era of Solar System science through the study of X-ray emission.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-f2559f608b9b4e8bb1d5105320796f84_SniosBradfordT.pdf"
"35","5 March 2019 12:08:44 pm","Mark","Heyer","University of Massachusetts, Amherst","Far Infrared Spectroscopic Imaging of the Neutral Interstellar Medium in Galaxies","We describe the importance of obtaining velocity-resolved far-infrared emission lines to investigate the thermodynamics of the neutral ISM, the assembly of giant molecular clouds, interstellar turbulence, and radiative feedback.  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-3a7994b8c337821ae3a9661e413ff2c9_HeyerMark.pdf"
"37","6 March 2019 2:23:19 pm","Dheeraj","Pasham","Massachusetts Institute of Technology","Probing the Cosmological Evolution of Super-massive Black Holes using Tidal Disruption Flares","X-ray spectral-timing studies of tidal disruption events to build a census of supermassive black hole spins at various redshifts and  study super-Eddington accretion around supermassive black holes in the local Universe to understand how they may have grown at high redshifts.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-bf0b00cb07c3b239339972bf6f31b0e2_DheerajPashamR.pdf"
"38","6 March 2019 4:28:39 pm","Scott","Wolk","Smithsonian Astrophysical Observatory","X-ray Studies of Exoplanets","We discuss contributions to the study of exoplanets and their environs which can be made by X-ray data of increasingly high quality that are achievable in the next 10--15 years.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-105278f5463ca9a05eedfde0d8632b66_WolkScottJ.pdf"
"39","6 March 2019 4:55:34 pm","Joan","Wrobel","National Radio Astronomy Observatory","Intermediate-Mass Black Holes in Extragalactic Globular Clusters","Intermediate-mass black holes have masses of ~ 100 to 100,000 Msun.  Finding them in globular clusters would validate a formation channel for seed black holes in the early universe and inform event predictions for gravitational wave facilities.  Searching many globular clusters is key,  and only feasible using a next-generation Very Large Array.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/54-f77d9b78a792b8229b33943040711304_WrobelJoanM.pdf"
"40","6 March 2019 10:28:26 pm","Brant","Robertson","UC Santa Cruz and Institute for Advanced Study","Understanding Galaxy Formation via Near-Infrared Surveys in the 2020s","A discussion of science cases in extragalactic astrophysics and galaxy formation that wide-area space-based infrared surveys will address in the 2020s.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/250-a3e3365e48448a9a45b7b0d63268579d_RobertsonBrantE.pdf"
"41","6 March 2019 11:35:39 pm","Ramses","Ramirez","Earth-Life Science Institute (ELSI), Tokyo Institute of Technology","Habitable zone predictions and how to test them","The classical HZ definition makes a number of assumptions common to the Earth. We discuss these and the observations needed to test them.  We also discuss how next-generation missions are only the beginning of a much more data-filled era in the near future, allowing us to actually determine which planets are most likely to exhibit life.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-2dc3fcc201a3075e3da6233f1a91c668_RamirezRamsesM.pdf"
"42","7 March 2019 4:11:50 am","Emanuele","Berti","Johns Hopkins University","Tests of General Relativity and Fundamental Physics with Space-based Gravitational Wave Detectors","Low-frequency gravitational-wave astronomy can perform precision tests of general relativity and probe fundamental physics in a regime previously inaccessible. A space-based detector will be a formidable tool to explore gravity and some of the greatest mysteries in physics and astronomy, such as dark matter and the origin of the Universe.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/64-4ae197dc5d06f07f39a36d5f80d57999_BertiEmanuele.pdf"
"43","7 March 2019 5:48:57 am","Luca","Fossati","Space Research Institute, Austrian Academy of Sciences","Ultraviolet Spectropolarimetry as a Tool for Understanding the Diversity of Exoplanetary Atmospheres","We show that a high-resolution spectropolarimeter with a broad wavelength coverage, particularly if attached to a large space telescope, would enable simultaneous study of the polarimetric exoplanet properties of the continuum and to look for and characterize the polarimetric signal due to scattering from single molecules.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/37-941c3514f99090e2cf1429e493313d29_FossatiLuca.pdf"
"44","7 March 2019 6:11:01 am","Tyson","Littenberg","NASA Marshall Space Flight Center","GRAVITATIONAL WAVE SURVEY OF GALACTIC ULTRA COMPACT BINARIES","Summary of science yield from joint GW and EM surveys of ultracompact binaries in the galaxy, including studies of the population as a whole and the dynamics of individual systems.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-60a2a4a52dc40c70d01299ccc2adfae9_LittenbergTysonB.pdf"
"45","7 March 2019 8:54:43 am","Elena","Gallo","University of Michigan","Towards a high accuracy measurement of the local black hole occupation fraction in low mass galaxies","This document illustrates the feasibility of a few per cent level measurement of the local black hole occupation fraction in low mass galaxies through wide-field, high angular resolution X-ray imaging observations of local volume galaxies. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-c1122a8dd2bdd9da2c8c9818a6633948_GalloElena.pdf"
"46","7 March 2019 9:23:38 am","Adam","Frank","University of Rochester","Exoplanets and High Energy Density Plasma Science","In this white paper we review the state of exoplanet interior studies and the ability of High Energy Density Plasma (HEDP) WDM techniques to address critical open issues.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-f4928c3c8fd50862e897559689f198c0_Frank_Astro_Decadal_White_Paper.pdf"
"47","7 March 2019 10:55:33 am","Alexander","Kashlinsky","Goddard Space Flight Center","Populations behind the source-subtracted cosmic infrared background anisotropies","Source-subtracted CIB fluctuations cannot be explained by known galaxy populations and  appear highly coherent with unresolved CXB from significantly abundant accreting BHs. Characterizing the CIB with high accuracy, and constraining the nature of the new populations would produce critically important cosmological information in the next decade. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-a47659f7d3404b9768f1bfab6ae67550_whitepaper_cib.pdf"
"48","7 March 2019 1:45:27 pm","Eric","Burns","NASA Goddard","A Summary of Multimessenger Science with Neutron Star Mergers","The white paper discusses the breadth of science that is possible with multimessenger observations of neutron star mergers. It then makes recommendations for the next decade, then beyond, to be sure we capture this science.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-170cb32d605fd6642b637e8165593039_BurnsEricK.pdf"
"50","7 March 2019 4:44:14 pm","Marusa","Bradac","UC Davis","Spectroscopic Probes of Galaxies at the Epoch of Reionization","While JWST will revolutionize the study of galaxies at the epoch of reionization, several questions will remain unanswered even after the data is taken.  ELTs will provide a comprehensive picture on the properties of Lyman-alpha emitters, and establish them as one of the main probes of the reionization epoch.   ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-da97b443ec013df3d5bd12837b7053b7_BradacMarusa.pdf"
"51","7 March 2019 4:51:09 pm","Alice","Pisani","Princeton University","Cosmic voids: a novel probe to shed light on our Universe","In this paper we present the case for void science, arguing that cosmic voids are a novel probe to constrain modified gravity, dark energy, the sum of neutrino masses and galaxy evolution. Voids will answer some of the most relevant questions in cosmology and astrophysics over the next decade. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-ab6bf1f100e2cd52dcc56a7626298b2a_PisaniAlice.pdf"
"52","7 March 2019 5:25:41 pm","Christopher","Carilli","NRAO","Imaging molecular gas in high redshift galaxies at <=1 kpc resolution","Imaging the cool molecular gas in distant galaxies, the fuel for star formation, at <= 1kpc resolution, is a prerequisite for future 'precision galaxy formation studies', addressing such basic issues as a Universal 'star formation law', cloud evolution and feed-back, and the dynamics and physical conditions in the cold gas in early galaxies.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/37-7e21f5a7a9405af7d3418adfc6b22e3f_CarilliChrisL.pdf"
"53","7 March 2019 9:03:46 pm","Christopher","Berry","Northwestern University","The unique potential of extreme mass-ratio inspirals for gravitational-wave astronomy","EMRIs are a prime source for LISA. They will tell us about the stellar dynamics in galactic nuclei and massive black hole populations. They will enable percent-level measurements of the multipolar structure of massive black holes and tests of the strong-gravity regime. They may also provide cosmographical data about the expansion of the Universe.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-b58773fad726d1cf2572d24cc61bb52d_EMRI_white_paper.pdf"
"54","7 March 2019 9:42:41 pm","Neelima","Sehgal","Stony Brook University","Science from an Ultra-Deep, High-Resolution Millimeter-Wave Survey","Opening up a new window of millimeter-wave observations that span frequency bands in the range of 30 to 500 GHz, survey half the sky, and are both an order of magnitude deeper and of higher-resolution than currently funded surveys would yield an enormous gain in understanding of both fundamental physics and astrophysics.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/118-44b80ebe49ec5a989728ee05e6144ba4_SehgalNeelima.pdf"
"55","7 March 2019 10:08:47 pm","Ranga Ram","Chary","IPAC/Caltech","Cosmology in the 2020s Needs Precision and Accuracy: The Case for Euclid/LSST/WFIRST Joint Survey Processing","Cosmological breakthroughs in the 2020s will arise from measuring the redshift evolution of dark energy, resolving the tension in the expansion rate of the Universe, and understanding the impact of dark matter on galaxy substructure. Joint processing of Euclid/LSST/WFIRST data provides the most compelling, economical and tractable path forward.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-778752db843a1cfce3090bb4b96510cc_CharyRangaRam.pdf"
"56","7 March 2019 10:27:42 pm","Marcia","Rieke","University of Arizona","JWST GTO/ERS Deep Surveys","Discovering and characterizing the first galaxies to form in the early Universe is one of the prime reasons for building a large, cold telescope in space, JWST.  This white paper describes an integrated GTO program using 800 hours of prime time and 800 hours of parallel time to study the formation and evolution of galaxies from z ~2 to z~14.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/195-40f4c5c20b28e46f2df9196d9760788a_RiekeMarciaJ.pdf"
"57","8 March 2019 12:46:36 am","Kevin","Harrington","Argelander Institute for Astronomy, Bonn, Germany","The Extended Cool Gas Reservoirs Within z > 1 (Proto-)Cluster Environments","This work focuses on the major role large radio/millimeter (mm) single dish facilities will have in constraining the bulk, cold molecular and atomic gas content. We calculate how the high-sensitivity of the GBT's unblocked 100m aperture provides vital interferometric short-spacing coverage to support higher-resolution ngVLA observations.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/238-f5d0f1216be851d511d155d00a9f5d74_Harrington-astro2020WP.pdf"
"58","8 March 2019 1:37:34 am","Bruce","Grossan","UC Berkeley Space Sciences Laboratory","Measurement of the Optical-IR Spectral Shape of Prompt Gamma-Ray Burst Emission: A Timely Call to Action for Gamma-Ray Burst Science","Gamma-ray burst (GRB) spectra appear the same in gamma bands for different emission mechanisms. The optical-IR (OIR) spectra are different, however, allowing a clear test of synchrotron mechanisms. We argue that multi-channel OIR instruments should therefore be added to GRB-capable missions to do this important, undervalued science.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/137-e9b1d18525a6786a0c171d4711fea542_GrossanBruce.pdf"
"59","8 March 2019 9:06:24 am","Asantha","Cooray","UC Irvine","Cosmic Dawn and Reionization: Astrophysics in the Final Frontier","The cosmic dawn and epoch of reionization mark the time period in the universe when stars, galaxies, and blackhole seeds first formed and the intergalactic medium changed from neutral to an ionized one.  This white paper outlines the current state of knowledge, anticipated scientific outcomes in the 2020s and scientific goals for new facilities","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/188-1a82c62da40cd8689189a7fdc6b9d83d_Cooray-Reionization.pdf"
"60","8 March 2019 9:39:52 am","Ian","Roederer","University of Michigan","The Potential of Ultraviolet Spectroscopy to Open New Frontiers to Study the First Stars","The elements found in second-generation stars probe the nature and end states of the elusive generation of metal-free first stars. High-resolution (R ≥ 30,000) ultraviolet (~1800-3100 Å) spectroscopy offers the potential to greatly expand the chemical inventory in second-generation stars.  Facilities like CETUS, HabEx, and LUVOIR meet these goals.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/100-b17fba8f9f7610f7ed161f570bfcb3d0_RoedererIanU.pdf"
"61","8 March 2019 10:03:26 am","Gianfranco","De Zotti","INAF-Osservatorio Astronomico di Padova","Early evolution of galaxies and of large-scale structure  from CMB experiments","Next generation CMB experiments with arcmin resolution will, for free, lay the foundations for a real breakthrough on the study of the early evolution of galaxies and galaxy clusters, thanks to the detection of large samples of strongly gravitationally lensed galaxies and of proto-clusters of dusty galaxies up to high redshifts.  ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/28-98b60f9266aec29990994133b0f27fe6_DeZottiGianfranco.pdf"
"62","8 March 2019 10:53:11 am","Alexander","Kashlinsky","Goddard Space Flight Center","Electromagnetic probes of primordial black holes as dark matter","Next decade, new space- and ground-borne electromagnetic instruments, combined with concurrent theoretical efforts, should shed critical light on the link between primordial Black Holes and Dark Matter. We summarize the prospects to resolve this important issue with electromagnetic observations using instruments and tools expected in the 2020’s. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/132-d271f965c893dc5f6af2e0cbc9408ffc_whitepaper_pbh.pdf"
"63","8 March 2019 11:01:20 am","Jean-Yves","Chaufray","LATMOS/IPSL, CNRS","UV Exploration of the solar system","The UV spectral range is a crucial window to investigate a large area of phenomena for the objects of the solar system from the surface to the atmosphere and magnetosphere. In this white paper, we describe how future  UV observations with high spectral resolution and polarimetric capability will bring new information on those subjects.","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-4106b87f95b60a4ee3535575c52ea467_ChaufrayJeanYves.pdf"
"64","8 March 2019 11:20:07 am","David","Erskine","Lawrence Livermore National Laboratory","Direct Acceleration: Cosmic and Exoplanet Synergies","4 frontier science areas can make great strides with development of highly accurate and stable spectroscopy: • Cosmic redshift drift and direct detection of cosmic acceleration  • Earth mass exoplanet detection from radial velocities  • Milky Way structure mapping through stellar accelerations  • Dark matter properties thru Milky Way gravity mapping","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/118-46d4a43cc2aa5d6e116b806f214d990b_ErskineDavidJ.pdf"
"65","8 March 2019 11:44:13 am","Gianfranco","De Zotti","INAF-Osservatorio Astronomico di Padova","Radio sources in next-generation CMB surveys","Next-generation CMB experiments will provide samples of thousands radio sources allowing the investigation of the evolutionary properties of blazar populations, the study of the earliest and latest stages of radio activity, the discovery of rare phenomena and of new transient sources  and  events. ","http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/623127/4458621/184-54dc9c360044294ff6a0f283e869707d_DeZottiGianfranco.pdf"
